2015.admissions.act_scores.midpoint.cumulative,2015.admissions.admission_rate.overall,2015.admissions.sat_scores.average.overall,2015.aid.federal_loan_rate,2015.aid.median_debt.completers.overall,2015.aid.pell_grant_rate,2015.completion.completion_rate_4yr_150nt,2015.cost.attendance.academic_year,2015.earnings.10_yrs_after_entry.not_working_not_enrolled.overall,2015.student.FAFSA_applications,2015.student.family_income.overall,2015.student.parents_education_level,2015.student.size,school.faculty_salary,school.ft_faculty_rate,school.instructional_expenditure_per_fte,school.name,school.ownership,school.region_id,school.state_fips,school.tuition_revenue_per_fte
21.0,0.5089,986.0,0.6972,26000.0,0.3959,0.5508,36248.0,,748.0,748.0,685.0,1369.0,6727.0,0.3689,7860,Avila University,2,4,29,12831
22.0,0.6739,1032.0,0.7359,28000.0,0.3861,0.5665,47274.0,,1674.0,1674.0,1426.0,3265.0,7006.0,0.5581,10428,St Catherine University,2,4,27,17107
22.0,0.6403,1008.0,0.2347,21678.0,0.1308,0.3925,19517.0,,1232.0,1232.0,1106.0,2300.0,8766.0,0.4797,4952,Southwest Minnesota State University,1,4,27,3844
29.0,0.3597,1282.0,0.4911,27000.0,0.1496,0.8728,53100.0,,884.0,884.0,837.0,3005.0,8685.0,0.7316,16922,St Olaf College,2,4,27,22567
24.0,0.7596,1109.0,0.5713,25000.0,0.2343,0.5993,23099.0,,3920.0,3920.0,3684.0,8929.0,7969.0,0.8431,6908,University of Minnesota-Duluth,1,4,27,8417
23.0,0.853,1074.0,0.7175,23250.0,0.3936,0.494,33807.0,,260.0,260.0,248.0,492.0,6495.0,0.6984,12413,Bethany Lutheran College,2,4,27,11407
31.0,0.2065,1400.0,0.4711,19500.0,0.1313,0.9451,62465.0,,369.0,369.0,351.0,1995.0,11575.0,0.8396,27406,Carleton College,2,4,27,30893
20.0,0.291,930.0,0.6738,18934.0,0.5887,0.4286,27188.0,,81.0,81.0,,113.0,4142.0,0.7059,4335,Oak Hills Christian College,2,4,27,10133
23.0,0.6857,1020.0,0.5468,20000.0,0.3006,0.5094,19482.0,,2412.0,2412.0,2184.0,5049.0,8783.0,1.0,7988,Worcester State University,1,1,25,6632
22.0,0.7961,1001.0,0.6444,22750.0,0.2751,0.6265,20810.0,,2980.0,2980.0,2751.0,5459.0,8910.0,0.469,7419,Westfield State University,1,1,25,7363
